team_1,team_2,cup_match,late_stage,weeks_ago,result
FRA,IRE,1,1,1267,won
NZL,SCO,1,1,1267,won
ENG,AUS,1,1,1267,won
RSA,FRA,1,0,1266,won
NZL,ENG,1,0,1266,won
ENG,FRA,1,0,1265,lost
RSA,NZL,1,1,1265,won
NZL,AUS,0,0,1261,won
AUS,NZL,0,0,1260,lost
RSA,WAL,0,0,1255,won
FRA,ITA,0,0,1249,won
ARG,ROM,0,0,1249,won
ARG,ITA,0,0,1248,won
FRA,ROM,0,0,1248,won
ARG,FRA,0,0,1248,lost
ITA,NZL,0,0,1247,lost
WAL,FIJ,0,0,1245,won
FRA,NZL,0,0,1245,won
ITA,RSA,0,0,1245,lost
IRE,FIJ,0,0,1244,won
SCO,SAM,0,0,1244,lost
ENG,RSA,0,0,1244,lost
FRA,NZL,0,0,1244,lost
ENG,SAM,0,0,1240,won
USA,IRE,0,0,1237,lost
WAL,ITA,0,0,1235,won
IRE,SCO,0,0,1235,lost
FRA,ENG,0,0,1235,won
SCO,FRA,0,0,1233,won
ENG,WAL,0,0,1233,won
WAL,SCO,0,0,1231,lost
FRA,IRE,0,0,1231,won
SCO,ENG,0,0,1229,lost
IRE,WAL,0,0,1229,won
WAL,FRA,0,0,1227,won
ENG,IRE,0,0,1227,won
FRA,ROM,0,0,1222,won
NZL,SAM,0,0,1215,won
URU,ARG,0,0,1215,lost
AUS,WAL,0,0,1215,won
NZL,SCO,0,0,1214,won
ARG,FRA,0,0,1213,lost
AUS,WAL,0,0,1213,won
NZL,SCO,0,0,1213,won
ARG,FRA,0,0,1212,lost
AUS,CAN,0,0,1212,won
RSA,FIJ,0,0,1211,won
NZL,AUS,0,0,1211,won
AUS,RSA,0,0,1210,won
SAM,TON,0,0,1210,won
NZL,RSA,0,0,1209,won
AUS,NZL,0,0,1208,lost
RSA,AUS,0,0,1207,won
RSA,NZL,0,0,1206,lost
RSA,NZL,0,0,1205,lost
RSA,NZL,0,0,1204,lost
RSA,NZL,0,0,1203,won
ARG,URU,0,0,1200,won
CAN,ARG,0,0,1200,lost
WAL,FRA,0,0,1199,lost
ITA,WAL,0,0,1198,lost
ITA,AUS,0,0,1195,lost
ARG,RSA,0,0,1193,lost
SCO,AUS,0,0,1193,lost
IRE,SAM,0,0,1192,lost
ARG,RSA,0,0,1192,lost
IRE,AUS,0,0,1191,lost
ENG,ITA,0,0,1191,won
FRA,RSA,0,0,1190,lost
WAL,AUS,0,0,1190,lost
FRA,RSA,0,0,1189,lost
SCO,ITA,0,0,1188,won
ENG,ARG,0,0,1188,won
WAL,RSA,0,0,1188,lost
IRE,ITA,0,0,1185,lost
WAL,USA,0,0,1184,won
IRE,FRA,0,0,1183,lost
SCO,WAL,0,0,1183,lost
ENG,SCO,0,0,1181,won
WAL,IRE,0,0,1181,lost
IRE,ENG,0,0,1179,lost
FRA,WAL,0,0,1179,won
SCO,IRE,0,0,1177,won
ENG,FRA,0,0,1177,lost
WAL,ENG,0,0,1175,lost
FRA,SCO,0,0,1175,won
FRA,ITA,0,0,1174,lost
ARG,ENG,0,0,1164,lost
ROM,FRA,0,0,1164,lost
ARG,ENG,0,0,1163,won
RSA,TON,0,0,1162,won
NZL,FIJ,0,0,1162,won
NZL,ARG,0,0,1161,won
AUS,FRA,0,0,1161,won
RSA,LIO,0,0,1161,lost
NZL,ARG,0,0,1160,won
AUS,FRA,0,0,1160,won
RSA,LIO,0,0,1160,lost
SAM,TON,0,0,1160,won
USA,WAL,0,0,1159,lost
RSA,LIO,0,0,1159,won
NZL,AUS,0,0,1159,won
USA,WAL,0,0,1158,lost
AUS,ENG,0,0,1158,won
CAN,WAL,0,0,1157,lost
RSA,NZL,0,0,1157,lost
AUS,NZL,0,0,1156,lost
AUS,RSA,0,0,1155,won
NZL,RSA,0,0,1154,won
NZL,AUS,0,0,1153,won
RSA,AUS,0,0,1152,won
WAL,ROM,0,0,1151,won
URU,ARG,0,0,1147,lost
FRA,ITA,0,0,1144,won
ARG,ROM,0,0,1144,won
FRA,ROM,0,0,1143,won
ARG,ITA,0,0,1143,lost
FRA,ARG,0,0,1143,won
ARG,AUS,0,0,1142,lost
ARG,AUS,0,0,1141,won
ITA,RSA,0,0,1141,lost
ENG,AUS,0,0,1140,lost
IRE,NZL,0,0,1140,lost
FRA,RSA,0,0,1140,lost
