team_1,team_2,cup_match,late_stage,weeks_ago,result
IRE,ENG,0,0,238,won
WAL,IRE,0,0,236,won
ENG,SCO,0,0,236,won
ITA,FRA,0,0,236,lost
ITA,WAL,0,0,235,lost
SCO,IRE,0,0,235,lost
ENG,FRA,0,0,235,won
SAM,NZL,0,0,219,lost
NZL,ARG,0,0,218,won
AUS,RSA,0,0,218,won
ARG,AUS,0,0,217,lost
RSA,NZL,0,0,217,lost
AUS,NZL,0,0,215,won
RSA,ARG,0,0,215,lost
WAL,IRE,0,0,215,lost
ARG,RSA,0,0,214,lost
IRE,SCO,0,0,214,won
NZL,AUS,0,0,214,won
ENG,FRA,0,0,214,won
ITA,SCO,0,0,213,lost
FRA,ENG,0,0,213,won
IRE,WAL,0,0,212,lost
SCO,ITA,0,0,212,won
ENG,IRE,0,0,211,won
WAL,ITA,0,0,211,won
FRA,SCO,0,0,211,won
USA,AUS,0,0,211,lost
ENG,FIJ,1,0,209,won
TON,GEO,1,0,209,lost
RSA,JPN,1,0,209,lost
IRE,CAN,1,0,209,won
FRA,ITA,1,0,209,won
SAM,USA,1,0,209,won
NZL,ARG,1,0,209,won
WAL,URU,1,0,209,won
AUS,FIJ,1,0,208,won
SCO,JPN,1,0,208,won
FRA,ROM,1,0,208,won
NZL,NAM,1,0,208,won
ARG,GEO,1,0,208,won
RSA,SAM,1,0,208,won
ITA,CAN,1,0,208,won
ENG,WAL,1,0,208,lost
AUS,URU,1,0,208,won
SCO,USA,1,0,208,won
IRE,ROM,1,0,208,won
TON,NAM,1,0,207,won
WAL,FIJ,1,0,207,won
FRA,CAN,1,0,207,won
NZL,GEO,1,0,207,won
RSA,SCO,1,0,207,won
SAM,JPN,1,0,207,lost
ENG,AUS,1,0,207,lost
IRE,ITA,1,0,207,won
ARG,TON,1,0,207,won
CAN,ROM,1,0,206,lost
FIJ,URU,1,0,206,won
RSA,USA,1,0,206,won
NAM,GEO,1,0,206,lost
NZL,TON,1,0,206,won
AUS,WAL,1,0,206,won
SCO,SAM,1,0,206,won
ENG,URU,1,0,206,won
ARG,NAM,1,0,206,won
FRA,IRE,1,0,206,lost
ITA,ROM,1,0,206,won
USA,JPN,1,0,206,lost
RSA,WAL,1,1,205,won
NZL,FRA,1,1,205,won
IRE,ARG,1,1,205,lost
AUS,SCO,1,1,205,won
NZL,RSA,1,0,204,won
AUS,ARG,1,0,204,won
RSA,ARG,1,0,203,won
NZL,AUS,1,1,203,won
FRA,ITA,0,0,189,won
SCO,ENG,0,0,189,lost
IRE,WAL,0,0,189,lost
FRA,IRE,0,0,188,won
WAL,SCO,0,0,188,won
ITA,ENG,0,0,188,lost
WAL,FRA,0,0,186,won
ITA,SCO,0,0,186,lost
ENG,IRE,0,0,186,won
IRE,ITA,0,0,184,won
ENG,WAL,0,0,184,won
SCO,FRA,0,0,184,won
WAL,ITA,0,0,183,won
IRE,SCO,0,0,183,won
FRA,ENG,0,0,183,lost
ENG,WAL,0,0,173,won
AUS,ENG,0,0,171,lost
ARG,ITA,0,0,171,won
RSA,IRE,0,0,171,lost
NZL,WAL,0,0,171,won
AUS,ENG,0,0,170,lost
USA,ITA,0,0,170,lost
RSA,IRE,0,0,170,won
JPN,SCO,0,0,170,lost
NZL,WAL,0,0,170,won
ARG,FRA,0,0,170,won
AUS,ENG,0,0,169,lost
ARG,FRA,0,0,169,lost
RSA,IRE,0,0,169,won
JPN,SCO,0,0,169,lost
NZL,WAL,0,0,169,won
CAN,ITA,0,0,169,lost
RSA,ARG,0,0,161,won
AUS,NZL,0,0,161,lost
ARG,RSA,0,0,160,won
NZL,AUS,0,0,160,won
AUS,RSA,0,0,158,won
NZL,ARG,0,0,158,won
AUS,ARG,0,0,157,won
NZL,RSA,0,0,157,won
RSA,AUS,0,0,155,won
ARG,NZL,0,0,155,lost
RSA,NZL,0,0,154,lost
ARG,AUS,0,0,154,lost
NZL,AUS,0,0,152,won
NZL,IRE,0,0,150,lost
WAL,AUS,0,0,150,lost
JPN,ARG,0,0,150,lost
ITA,NZL,0,0,149,lost
SCO,AUS,0,0,149,lost
FRA,SAM,0,0,149,won
ENG,RSA,0,0,149,won
IRE,CAN,0,0,149,won
WAL,ARG,0,0,149,won
IRE,NZL,0,0,148,lost
FRA,AUS,0,0,148,lost
SCO,ARG,0,0,148,won
ITA,RSA,0,0,148,won
WAL,JPN,0,0,148,won
ENG,FIJ,0,0,148,won
ITA,TON,0,0,147,lost
ENG,ARG,0,0,147,won
SCO,GEO,0,0,147,won
IRE,AUS,0,0,147,won
WAL,RSA,0,0,147,won
FRA,NZL,0,0,147,lost
ENG,AUS,0,0,146,won
SCO,IRE,0,0,137,won
ENG,FRA,0,0,137,won
ITA,WAL,0,0,137,lost
ITA,IRE,0,0,136,lost
WAL,ENG,0,0,136,lost
FRA,SCO,0,0,136,won
SCO,WAL,0,0,134,won
IRE,FRA,0,0,134,won
ENG,ITA,0,0,134,won
WAL,IRE,0,0,132,won
ITA,FRA,0,0,132,lost
ENG,SCO,0,0,132,won
SCO,ITA,0,0,131,won
FRA,WAL,0,0,131,won
IRE,ENG,0,0,131,won
JPN,ROM,0,0,119,won
AUS,FIJ,0,0,119,won
CAN,GEO,0,0,119,lost
USA,IRE,0,0,119,lost
ARG,ENG,0,0,119,lost
RSA,FRA,0,0,119,won
ITA,SCO,0,0,119,lost
TON,WAL,0,0,118,lost
NZL,SAM,0,0,118,won
JPN,IRE,0,0,118,lost
FIJ,ITA,0,0,118,won
AUS,SCO,0,0,118,lost
CAN,ROM,0,0,118,lost
ARG,ENG,0,0,118,lost
RSA,FRA,0,0,118,won
USA,GEO,0,0,118,lost
SAM,WAL,0,0,117,lost
FIJ,SCO,0,0,117,won
JPN,IRE,0,0,117,lost
AUS,ITA,0,0,117,won
ARG,GEO,0,0,117,won
RSA,FRA,0,0,117,won
NZL,LIO,0,0,117,won
NZL,LIO,0,0,116,lost
NZL,LIO,0,0,115,lost
RSA,ARG,0,0,109,won
AUS,NZL,0,0,109,lost
ARG,RSA,0,0,108,lost
NZL,AUS,0,0,108,won
AUS,RSA,0,0,106,lost
NZL,ARG,0,0,106,won
NZL,RSA,0,0,105,won
AUS,ARG,0,0,105,won
RSA,AUS,0,0,103,lost
ARG,NZL,0,0,103,lost
RSA,NZL,0,0,102,lost
ARG,AUS,0,0,102,lost
AUS,NZL,0,0,100,won
JPN,AUS,0,0,98,lost
GEO,CAN,0,0,97,won
SCO,SAM,0,0,97,won
ITA,FIJ,0,0,97,won
ENG,ARG,0,0,97,won
WAL,AUS,0,0,97,lost
IRE,RSA,0,0,97,won
FRA,NZL,0,0,97,lost
WAL,GEO,0,0,96,won
ROM,SAM,0,0,96,won
ITA,ARG,0,0,96,lost
ENG,AUS,0,0,96,won
NAM,URU,0,0,96,lost
JPN,TON,0,0,96,won
SCO,NZL,0,0,96,lost
IRE,FIJ,0,0,96,won
FRA,RSA,0,0,96,lost
CAN,FIJ,0,0,95,lost
ITA,RSA,0,0,95,lost
ROM,TON,0,0,95,lost
SCO,AUS,0,0,95,won
ENG,SAM,0,0,95,won
NAM,URU,0,0,95,lost
WAL,NZL,0,0,95,lost
IRE,ARG,0,0,95,won
GEO,USA,0,0,95,won
FRA,JPN,0,0,95,lost
WAL,RSA,0,0,94,won
WAL,SCO,0,0,85,won
FRA,IRE,0,0,85,lost
ITA,ENG,0,0,85,lost
IRE,ITA,0,0,84,won
ENG,WAL,0,0,84,won
SCO,FRA,0,0,84,won
FRA,ITA,0,0,82,won
IRE,WAL,0,0,82,won
SCO,ENG,0,0,82,won
IRE,SCO,0,0,80,won
FRA,ENG,0,0,80,won
WAL,ITA,0,0,80,won
ITA,SCO,0,0,79,lost
ENG,IRE,0,0,79,lost
WAL,FRA,0,0,79,won
RSA,WAL,0,0,68,lost
AUS,IRE,0,0,67,won
ARG,WAL,0,0,67,lost
JPN,ITA,0,0,67,won
CAN,SCO,0,0,67,lost
RSA,ENG,0,0,67,won
NZL,FRA,0,0,67,won
AUS,IRE,0,0,66,lost
ARG,WAL,0,0,66,lost
JPN,ITA,0,0,66,lost
USA,SCO,0,0,66,won
RSA,ENG,0,0,66,won
NZL,FRA,0,0,66,won
AUS,IRE,0,0,65,lost
ARG,SCO,0,0,65,lost
JPN,GEO,0,0,65,won
FIJ,TON,0,0,65,lost
RSA,ENG,0,0,65,lost
NZL,FRA,0,0,65,won
RSA,ARG,0,0,57,won
AUS,NZL,0,0,57,lost
ARG,RSA,0,0,56,won
NZL,AUS,0,0,56,won
AUS,RSA,0,0,54,won
NZL,ARG,0,0,54,won
AUS,ARG,0,0,53,lost
NZL,RSA,0,0,53,lost
ARG,NZL,0,0,51,lost
RSA,AUS,0,0,51,won
RSA,NZL,0,0,50,lost
ARG,AUS,0,0,50,lost
NZL,AUS,0,0,47,won
JPN,NZL,0,0,46,lost
ENG,RSA,0,0,46,won
WAL,SCO,0,0,46,won
IRE,ITA,0,0,46,won
ENG,NZL,0,0,45,lost
FRA,RSA,0,0,45,lost
ITA,GEO,0,0,45,won
SCO,FIJ,0,0,45,won
WAL,AUS,0,0,45,won
IRE,ARG,0,0,45,won
FRA,ARG,0,0,44,won
ITA,AUS,0,0,44,lost
ENG,JPN,0,0,44,won
SCO,RSA,0,0,44,lost
WAL,TON,0,0,44,won
IRE,NZL,0,0,44,won
ITA,NZL,0,0,43,lost
FRA,FIJ,0,0,43,lost
ENG,AUS,0,0,43,won
SCO,ARG,0,0,43,won
WAL,RSA,0,0,43,won
IRE,USA,0,0,43,won
FRA,WAL,0,0,33,lost
SCO,ITA,0,0,33,won
IRE,ENG,0,0,33,lost
SCO,IRE,0,0,32,lost
ITA,WAL,0,0,32,lost
ENG,FRA,0,0,32,won
FRA,SCO,0,0,30,won
WAL,ENG,0,0,30,won
ITA,IRE,0,0,30,lost
SCO,WAL,0,0,28,lost
ENG,ITA,0,0,28,won
IRE,FRA,0,0,28,won
ITA,FRA,0,0,27,lost
WAL,IRE,0,0,27,won
ENG,SCO,0,0,27,lost
RSA,AUS,0,0,9,won
ARG,NZL,0,0,9,lost
AUS,ARG,0,0,8,won
NZL,RSA,0,0,8,lost
ARG,RSA,0,0,6,lost
IRE,ITA,0,0,6,won
AUS,NZL,0,0,6,won
ENG,WAL,0,0,6,won
RSA,ARG,0,0,5,won
WAL,ENG,0,0,5,won
ITA,RUS,0,0,5,won
NZL,AUS,0,0,5,won
FRA,SCO,0,0,5,won
SCO,FRA,0,0,4,won
ENG,IRE,0,0,4,won
FRA,ITA,0,0,3,won
WAL,IRE,0,0,3,lost
GEO,SCO,0,0,3,lost
JPN,RSA,0,0,2,lost
SCO,GEO,0,0,2,won
ENG,ITA,0,0,2,won
AUS,SAM,0,0,2,won
IRE,WAL,0,0,2,won
NZL,TON,0,0,2,won
ITA,NZL,1,0,1687,lost
ENG,AUS,1,0,1687,lost
SCO,FRA,1,0,1687,lost
ZIM,ROM,1,0,1687,lost
FIJ,ARG,1,0,1687,won
JPN,USA,1,0,1687,lost
TON,CAN,1,0,1687,lost
WAL,IRE,1,0,1686,won
FIJ,NZL,1,0,1686,lost
ITA,ARG,1,0,1686,lost
ROM,FRA,1,0,1686,lost
TON,WAL,1,0,1686,lost
CAN,IRE,1,0,1686,lost
JPN,ENG,1,0,1686,lost
ZIM,SCO,1,0,1686,lost
USA,AUS,1,0,1686,lost
ITA,FIJ,1,0,1686,won
ARG,NZL,1,0,1685,lost
ROM,SCO,1,0,1685,lost
ZIM,FRA,1,0,1685,lost
JPN,AUS,1,0,1685,lost
CAN,WAL,1,0,1685,lost
USA,ENG,1,0,1685,lost
TON,IRE,1,0,1685,lost
SCO,NZL,1,1,1685,lost
IRE,AUS,1,1,1685,lost
FIJ,FRA,1,1,1685,lost
WAL,ENG,1,1,1684,won
FRA,AUS,1,0,1684,won
WAL,NZL,1,0,1684,lost
WAL,AUS,1,0,1683,won
FRA,NZL,1,1,1683,lost
NZL,AUS,0,0,1678,won
AUS,ARG,0,0,1664,lost
AUS,ARG,0,0,1663,lost
ROM,FRA,0,0,1662,lost
SCO,IRE,0,0,1653,lost
ENG,FRA,0,0,1653,lost
FRA,SCO,0,0,1650,lost
WAL,ENG,0,0,1650,won
SCO,WAL,0,0,1648,lost
IRE,FRA,0,0,1648,lost
ENG,SCO,0,0,1646,won
WAL,IRE,0,0,1646,won
FRA,WAL,0,0,1644,won
IRE,ENG,0,0,1644,lost
ENG,IRE,0,0,1639,won
WAL,NZL,0,0,1634,lost
ENG,AUS,0,0,1634,lost
WAL,NZL,0,0,1632,lost
ENG,AUS,0,0,1632,lost
ENG,FIJ,0,0,1631,won
FRA,ARG,0,0,1631,won
FRA,ARG,0,0,1630,lost
NZL,AUS,0,0,1629,won
NZL,AUS,0,0,1627,lost
NZL,AUS,0,0,1625,won
SAM,IRE,0,0,1612,lost
AUS,ENG,0,0,1611,lost
ARG,FRA,0,0,1611,lost
ARG,FRA,0,0,1610,lost
SAM,WAL,0,0,1610,lost
AUS,SCO,0,0,1609,won
FRA,ROM,0,0,1608,won
AUS,ITA,0,0,1607,won
ROM,WAL,0,0,1606,won
ITA,IRE,0,0,1603,lost
FRA,IRE,0,0,1600,won
WAL,SCO,0,0,1600,lost
SCO,ENG,0,0,1598,lost
IRE,WAL,0,0,1598,won
ENG,IRE,0,0,1596,won
WAL,FRA,0,0,1596,lost
IRE,SCO,0,0,1594,lost
FRA,ENG,0,0,1594,lost
ENG,WAL,0,0,1592,lost
SCO,FRA,0,0,1592,lost
ENG,ROM,0,0,1584,won
FRA,NZL,0,0,1579,lost
ITA,ARG,0,0,1578,lost
FRA,NZL,0,0,1577,lost
LIO,AUS,0,0,1577,lost
LIO,AUS,0,0,1576,won
ARG,NZL,0,0,1575,lost
LIO,AUS,0,0,1575,won
ARG,NZL,0,0,1573,lost
AUS,NZL,0,0,1572,lost
WOR,RSA,0,0,1569,lost
WOR,RSA,0,0,1568,lost
FIJ,SCO,0,0,1560,lost
NZL,WAL,0,0,1559,won
FIJ,ENG,0,0,1559,lost
AUS,FRA,0,0,1559,won
AUS,FRA,0,0,1558,lost
NZL,IRE,0,0,1557,won
ROM,SCO,0,0,1554,lost
FRA,WAL,0,0,1548,won
IRE,ENG,0,0,1548,lost
SCO,IRE,0,0,1546,won
ENG,FRA,0,0,1546,won
FRA,SCO,0,0,1544,lost
WAL,ENG,0,0,1544,lost
SCO,WAL,0,0,1542,won
IRE,FRA,0,0,1542,lost
ENG,SCO,0,0,1540,lost
WAL,IRE,0,0,1539,lost
ARG,CAN,0,0,1538,lost
ARG,USA,0,0,1537,won
ROM,FRA,0,0,1530,won
WAL,NAM,0,0,1529,won
FRA,AUS,0,0,1528,lost
WAL,NAM,0,0,1528,won
CAN,ARG,0,0,1527,won
SCO,NZL,0,0,1527,lost
SCO,NZL,0,0,1526,lost
FRA,AUS,0,0,1526,lost
FRA,AUS,0,0,1525,won
USA,AUS,0,0,1524,lost
AUS,NZL,0,0,1522,lost
ENG,ARG,0,0,1521,won
ENG,ARG,0,0,1520,lost
AUS,NZL,0,0,1520,lost
AUS,NZL,0,0,1518,won
SPA,ITA,0,0,1512,lost
ROM,ITA,0,0,1511,lost
ARG,IRE,0,0,1508,lost
ARG,ENG,0,0,1507,lost
NZL,FRA,0,0,1507,won
ARG,SCO,0,0,1506,lost
NZL,FRA,0,0,1506,won
ENG,WAL,0,0,1496,won
SCO,FRA,0,0,1496,lost
FRA,IRE,0,0,1494,won
WAL,SCO,0,0,1494,lost
SCO,ENG,0,0,1492,lost
IRE,WAL,0,0,1492,lost
ENG,IRE,0,0,1490,won
WAL,FRA,0,0,1490,lost
IRE,SCO,0,0,1488,lost
FRA,ENG,0,0,1488,lost
FRA,ROM,0,0,1474,won
NZL,ARG,0,0,1472,won
FRA,USA,0,0,1471,won
NZL,ARG,0,0,1471,won
FRA,USA,0,0,1470,won
IRE,NAM,0,0,1470,lost
ENG,FIJ,0,0,1470,won
WAL,AUS,0,0,1469,lost
ENG,AUS,0,0,1469,lost
IRE,NAM,0,0,1469,lost
NZL,AUS,0,0,1467,lost
AUS,NZL,0,0,1465,lost
SCO,ROM,0,0,1464,lost
FRA,WAL,0,0,1463,won
NZL,ENG,1,0,1459,won
ROM,FRA,1,0,1459,lost
ARG,AUS,1,0,1459,lost
JPN,SCO,1,0,1459,lost
USA,ITA,1,0,1459,lost
FIJ,CAN,1,0,1459,lost
ZIM,IRE,1,0,1459,lost
SAM,WAL,1,0,1459,won
ITA,ENG,1,0,1458,lost
FIJ,FRA,1,0,1458,lost
USA,NZL,1,0,1458,lost
JPN,IRE,1,0,1458,lost
ZIM,SCO,1,0,1458,lost
ARG,WAL,1,0,1458,lost
SAM,AUS,1,0,1458,lost
ROM,CAN,1,0,1458,lost
USA,ENG,1,0,1458,lost
IRE,SCO,1,0,1458,lost
AUS,WAL,1,0,1458,won
ROM,FIJ,1,0,1458,won
CAN,FRA,1,0,1458,lost
ITA,NZL,1,0,1458,lost
SAM,ARG,1,0,1458,won
ZIM,JPN,1,0,1457,lost
SAM,SCO,1,1,1457,lost
ENG,FRA,1,1,1457,won
AUS,IRE,1,1,1457,won
CAN,NZL,1,1,1457,lost
ENG,SCO,1,0,1456,won
AUS,NZL,1,0,1456,won
SCO,NZL,1,0,1455,lost
AUS,ENG,1,1,1455,won
ENG,SCO,0,0,1444,won
WAL,IRE,0,0,1444,won
FRA,WAL,0,0,1442,won
IRE,ENG,0,0,1442,lost
SCO,IRE,0,0,1440,won
ENG,FRA,0,0,1440,won
FRA,SCO,0,0,1437,lost
WAL,ENG,0,0,1437,lost
SCO,WAL,0,0,1435,lost
IRE,FRA,0,0,1435,lost
WOR,NZL,0,0,1431,won
WOR,NZL,0,0,1430,lost
WOR,NZL,0,0,1430,lost
ROM,FRA,0,0,1425,lost
IRE,NZL,0,0,1425,lost
IRE,NZL,0,0,1424,lost
SCO,AUS,0,0,1423,lost
SCO,AUS,0,0,1422,lost
FRA,ARG,0,0,1420,won
NZL,AUS,0,0,1420,lost
FRA,ARG,0,0,1419,won
NZL,AUS,0,0,1418,lost
NZL,AUS,0,0,1417,won
NZL,RSA,0,0,1414,won
AUS,RSA,0,0,1413,won
CAN,ENG,0,0,1405,lost
RSA,FRA,0,0,1405,won
RSA,FRA,0,0,1404,lost
ARG,SPA,0,0,1404,won
AUS,IRE,0,0,1403,won
ARG,ROM,0,0,1403,won
RSA,ENG,0,0,1401,lost
ARG,FRA,0,0,1401,won
AUS,WAL,0,0,1400,won
IRE,SCO,0,0,1392,lost
FRA,ENG,0,0,1392,lost
ENG,WAL,0,0,1389,lost
SCO,FRA,0,0,1389,lost
FRA,IRE,0,0,1387,won
WAL,SCO,0,0,1387,lost
SCO,ENG,0,0,1385,lost
IRE,WAL,0,0,1385,won
ENG,IRE,0,0,1383,lost
WAL,FRA,0,0,1383,lost
JPN,ARG,0,0,1375,lost
FRA,ROM,0,0,1374,won
WAL,ZIM,0,0,1374,won
JPN,ARG,0,0,1374,lost
WAL,ZIM,0,0,1373,won
WAL,NAM,0,0,1372,won
LIO,NZL,0,0,1371,lost
FRA,RSA,0,0,1369,lost
LIO,NZL,0,0,1369,won
FRA,RSA,0,0,1368,won
LIO,NZL,0,0,1368,lost
TON,AUS,0,0,1368,lost
AUS,NZL,0,0,1366,lost
RSA,AUS,0,0,1364,won
SAM,NZL,0,0,1364,lost
RSA,AUS,0,0,1362,lost
RSA,AUS,0,0,1361,lost
AUS,CAN,0,0,1354,won
JPN,WAL,0,0,1353,lost
ROM,FRA,0,0,1353,lost
ARG,URU,0,0,1352,won
AUS,FRA,0,0,1351,lost
RSA,ARG,0,0,1350,won
AUS,FRA,0,0,1350,won
CAN,WAL,0,0,1349,won
RSA,ARG,0,0,1349,won
ROM,IRE,0,0,1349,lost
NZL,SCO,0,0,1348,won
NZL,ENG,0,0,1347,lost
SCO,WAL,0,0,1340,lost
IRE,FRA,0,0,1340,lost
ENG,SCO,0,0,1337,won
WAL,IRE,0,0,1337,won
FRA,WAL,0,0,1335,lost
IRE,ENG,0,0,1335,won
SCO,IRE,0,0,1333,lost
ENG,FRA,0,0,1333,won
FRA,SCO,0,0,1331,won
WAL,ENG,0,0,1331,lost
CZR,ITA,0,0,1322,lost
WAL,POR,0,0,1322,won
WAL,SPA,0,0,1322,won
ARG,USA,0,0,1321,won
SCO,ARG,0,0,1320,lost
ENG,RSA,0,0,1320,won
FRA,CAN,0,0,1320,lost
IRE,AUS,0,0,1320,lost
SCO,ARG,0,0,1319,lost
ENG,RSA,0,0,1319,lost
IRE,AUS,0,0,1319,lost
WAL,CAN,0,0,1319,won
ITA,AUS,0,0,1318,lost
WAL,FIJ,0,0,1318,won
USA,ARG,0,0,1317,lost
WAL,TON,0,0,1317,won
ITA,AUS,0,0,1317,lost
WAL,SAM,0,0,1317,lost
FRA,NZL,0,0,1317,won
FRA,NZL,0,0,1316,won
RSA,NZL,0,0,1315,lost
RSA,NZL,0,0,1313,lost
RSA,NZL,0,0,1311,lost
SAM,AUS,0,0,1311,lost
NZL,AUS,0,0,1309,lost
WAL,ROM,0,0,1305,won
ROM,ITA,0,0,1303,lost
ARG,RSA,0,0,1302,lost
ITA,WAL,0,0,1301,lost
ARG,RSA,0,0,1301,lost
USA,IRE,0,0,1298,lost
ROM,ENG,0,0,1297,lost
RSA,SCO,0,0,1296,won
RSA,WAL,0,0,1295,won
CAN,ENG,0,0,1293,lost
CAN,FRA,0,0,1292,lost
ENG,IRE,0,0,1287,won
WAL,FRA,0,0,1287,lost
CAN,SCO,0,0,1287,lost
IRE,SCO,0,0,1285,lost
FRA,ENG,0,0,1285,lost
ENG,WAL,0,0,1283,won
SCO,FRA,0,0,1283,won
FRA,IRE,0,0,1281,won
WAL,SCO,0,0,1281,lost
CAN,ARG,0,0,1280,lost
SCO,ENG,0,0,1279,lost
IRE,WAL,0,0,1279,won
FRA,ROM,0,0,1276,won
SAM,RSA,0,0,1275,lost
ROM,SCO,0,0,1274,lost
CAN,NZL,0,0,1274,lost
ARG,AUS,0,0,1273,lost
IRE,ITA,0,0,1272,lost
ARG,AUS,0,0,1272,lost
AUS,RSA,1,0,1269,lost
TON,FRA,1,0,1269,lost
CAN,ROM,1,0,1269,won
IRE,NZL,1,0,1269,lost
SAM,ITA,1,0,1269,won
ARG,ENG,1,0,1269,lost
JPN,WAL,1,0,1269,lost
ROM,RSA,1,0,1268,lost
TON,SCO,1,0,1268,lost
SAM,ARG,1,0,1268,won
CAN,AUS,1,0,1268,lost
WAL,NZL,1,0,1268,lost
ITA,ENG,1,0,1268,lost
JPN,IRE,1,0,1268,lost
CAN,RSA,1,0,1268,lost
ROM,AUS,1,0,1268,lost
SCO,FRA,1,0,1268,lost
WAL,IRE,1,0,1268,lost
ITA,ARG,1,0,1268,won
SAM,ENG,1,0,1268,lost
JPN,NZL,1,0,1268,lost
SAM,RSA,1,1,1267,lost
IRE,FRA,1,1,1267,lost
SCO,NZL,1,1,1267,lost
AUS,ENG,1,1,1267,lost
FRA,RSA,1,0,1266,lost
ENG,NZL,1,0,1266,lost
FRA,ENG,1,0,1265,won
NZL,RSA,1,1,1265,lost
AUS,NZL,0,0,1261,lost
NZL,AUS,0,0,1260,won
WAL,RSA,0,0,1255,lost
ITA,FRA,0,0,1249,lost
ROM,ARG,0,0,1249,lost
ITA,ARG,0,0,1248,lost
ROM,FRA,0,0,1248,lost
FRA,ARG,0,0,1248,won
NZL,ITA,0,0,1247,won
FIJ,WAL,0,0,1245,lost
NZL,FRA,0,0,1245,lost
RSA,ITA,0,0,1245,won
FIJ,IRE,0,0,1244,lost
SAM,SCO,0,0,1244,lost
RSA,ENG,0,0,1244,won
NZL,FRA,0,0,1244,won
SAM,ENG,0,0,1240,lost
IRE,USA,0,0,1237,won
ITA,WAL,0,0,1235,lost
SCO,IRE,0,0,1235,won
ENG,FRA,0,0,1235,lost
FRA,SCO,0,0,1233,lost
WAL,ENG,0,0,1233,lost
SCO,WAL,0,0,1231,won
IRE,FRA,0,0,1231,lost
ENG,SCO,0,0,1229,won
WAL,IRE,0,0,1229,lost
FRA,WAL,0,0,1227,lost
IRE,ENG,0,0,1227,lost
ROM,FRA,0,0,1222,lost
SAM,NZL,0,0,1215,lost
ARG,URU,0,0,1215,won
WAL,AUS,0,0,1215,lost
SCO,NZL,0,0,1214,lost
FRA,ARG,0,0,1213,won
WAL,AUS,0,0,1213,lost
SCO,NZL,0,0,1213,lost
FRA,ARG,0,0,1212,won
CAN,AUS,0,0,1212,lost
FIJ,RSA,0,0,1211,lost
AUS,NZL,0,0,1211,lost
RSA,AUS,0,0,1210,lost
TON,SAM,0,0,1210,lost
RSA,NZL,0,0,1209,lost
NZL,AUS,0,0,1208,won
AUS,RSA,0,0,1207,lost
NZL,RSA,0,0,1206,won
NZL,RSA,0,0,1205,won
NZL,RSA,0,0,1204,won
NZL,RSA,0,0,1203,lost
URU,ARG,0,0,1200,lost
ARG,CAN,0,0,1200,won
FRA,WAL,0,0,1199,won
WAL,ITA,0,0,1198,won
AUS,ITA,0,0,1195,won
RSA,ARG,0,0,1193,won
AUS,SCO,0,0,1193,won
SAM,IRE,0,0,1192,won
RSA,ARG,0,0,1192,won
AUS,IRE,0,0,1191,won
ITA,ENG,0,0,1191,lost
RSA,FRA,0,0,1190,won
AUS,WAL,0,0,1190,won
RSA,FRA,0,0,1189,won
ITA,SCO,0,0,1188,lost
ARG,ENG,0,0,1188,lost
RSA,WAL,0,0,1188,won
ITA,IRE,0,0,1185,won
USA,WAL,0,0,1184,lost
FRA,IRE,0,0,1183,won
WAL,SCO,0,0,1183,won
SCO,ENG,0,0,1181,lost
IRE,WAL,0,0,1181,won
ENG,IRE,0,0,1179,won
WAL,FRA,0,0,1179,lost
IRE,SCO,0,0,1177,lost
FRA,ENG,0,0,1177,won
ENG,WAL,0,0,1175,won
SCO,FRA,0,0,1175,lost
ITA,FRA,0,0,1174,won
ENG,ARG,0,0,1164,won
FRA,ROM,0,0,1164,won
ENG,ARG,0,0,1163,lost
TON,RSA,0,0,1162,lost
FIJ,NZL,0,0,1162,lost
ARG,NZL,0,0,1161,lost
FRA,AUS,0,0,1161,lost
LIO,RSA,0,0,1161,won
ARG,NZL,0,0,1160,lost
FRA,AUS,0,0,1160,lost
LIO,RSA,0,0,1160,won
TON,SAM,0,0,1160,lost
WAL,USA,0,0,1159,won
LIO,RSA,0,0,1159,lost
AUS,NZL,0,0,1159,lost
WAL,USA,0,0,1158,won
ENG,AUS,0,0,1158,lost
WAL,CAN,0,0,1157,won
NZL,RSA,0,0,1157,won
NZL,AUS,0,0,1156,won
RSA,AUS,0,0,1155,lost
RSA,NZL,0,0,1154,lost
AUS,NZL,0,0,1153,lost
AUS,RSA,0,0,1152,lost
ROM,WAL,0,0,1151,lost
ARG,URU,0,0,1147,won
ITA,FRA,0,0,1144,lost
ROM,ARG,0,0,1144,lost
ROM,FRA,0,0,1143,lost
ITA,ARG,0,0,1143,lost
ARG,FRA,0,0,1143,lost
AUS,ARG,0,0,1142,won
AUS,ARG,0,0,1141,lost
RSA,ITA,0,0,1141,won
AUS,ENG,0,0,1140,lost
NZL,IRE,0,0,1140,won
RSA,FRA,0,0,1140,won
TON,WAL,0,0,1140,lost
AUS,SCO,0,0,1139,won
NZL,ENG,0,0,1139,won
RSA,FRA,0,0,1139,won
NZL,WAL,0,0,1138,won
RSA,ENG,0,0,1138,won
CAN,IRE,0,0,1138,lost
RSA,SCO,0,0,1137,won
NZL,ENG,0,0,1137,lost
IRE,ITA,0,0,1135,lost
SCO,ITA,0,0,1130,lost
SCO,IRE,0,0,1128,won
ENG,FRA,0,0,1128,lost
ITA,WAL,0,0,1128,lost
FRA,SCO,0,0,1126,won
WAL,ENG,0,0,1126,lost
